logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
440281,0x3aa9e,False,292,885842,893762,7,6,1.7488013864825147e+18,-1,781.0,198.0,3221291520.0,2,0,15,15
440281,0x3aa9e,False,292,885842,893762,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
440281,0x3aa9e,False,292,885842,893762,7,6,1.7488013870193856e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
440281,0x3aa9e,False,292,885842,893762,7,6,1.7488013864825147e+18,-1,926.0,208.0,3221291520.0,2,0,15,15
440281,0x3aa9e,False,292,885842,893762,7,6,1.7488013864825147e+18,-1,774.0,213.0,3221291776.0,1,0,20,20
537150,0x3aaf7,False,285,893762,901807,7,6,1.748801386482515e+18,-1,893.0,196.0,3221291776.0,1,0,20,20
537150,0x3aaf7,False,285,893762,901807,7,6,1.748801386482515e+18,-1,838.0,195.0,3221291520.0,2,0,15,15
537150,0x3aaf7,False,285,893762,901807,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
537150,0x3aaf7,False,285,893762,901807,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
537150,0x3aaf7,False,285,893762,901807,7,6,1.748801386482515e+18,-1,942.0,208.0,3221291520.0,2,0,15,15
537150,0x3aaf7,False,285,893762,901807,7,6,1.748801386482515e+18,-1,940.0,213.0,3221291776.0,1,0,20,20
540510,0x3ab02,False,292,893762,901807,7,6,1.748801386482515e+18,-1,893.0,196.0,3221291776.0,1,0,20,20
540510,0x3ab02,False,292,893762,901807,7,6,1.748801386482515e+18,-1,838.0,195.0,3221291520.0,2,0,15,15
540510,0x3ab02,False,292,893762,901807,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
540510,0x3ab02,False,292,893762,901807,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
540510,0x3ab02,False,292,893762,901807,7,6,1.748801386482515e+18,-1,942.0,208.0,3221291520.0,2,0,15,15
540510,0x3ab02,False,292,893762,901807,7,6,1.748801386482515e+18,-1,940.0,213.0,3221291776.0,1,0,20,20
636724,0x3ab51,False,285,901807,909835,7,6,1.748801386482515e+18,-1,788.0,194.0,3221291776.0,1,0,20,20
636724,0x3ab51,False,285,901807,909835,7,6,1.748801386482515e+18,-1,814.0,195.0,3221291520.0,2,0,15,15
636724,0x3ab51,False,285,901807,909835,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
636724,0x3ab51,False,285,901807,909835,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
636724,0x3ab51,False,285,901807,909835,7,6,1.748801386482515e+18,-1,871.0,207.0,3221291520.0,2,0,15,15
636724,0x3ab51,False,285,901807,909835,7,6,1.748801386482515e+18,-1,846.0,212.0,3221291776.0,1,0,20,20
673951,0x3ab7b,False,292,901807,909835,7,6,1.748801386482515e+18,-1,788.0,194.0,3221291776.0,1,0,20,20
673951,0x3ab7b,False,292,901807,909835,7,6,1.748801386482515e+18,-1,814.0,195.0,3221291520.0,2,0,15,15
673951,0x3ab7b,False,292,901807,909835,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
673951,0x3ab7b,False,292,901807,909835,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
673951,0x3ab7b,False,292,901807,909835,7,6,1.748801386482515e+18,-1,871.0,207.0,3221291520.0,2,0,15,15
673951,0x3ab7b,False,292,901807,909835,7,6,1.748801386482515e+18,-1,846.0,212.0,3221291776.0,1,0,20,20
769634,0x3abcb,False,285,909835,917825,7,6,1.748801386482515e+18,-1,726.0,193.0,3221291776.0,1,0,20,20
769634,0x3abcb,False,285,909835,917825,7,6,1.748801386482515e+18,-1,725.0,193.0,3221291520.0,2,0,15,15
769634,0x3abcb,False,285,909835,917825,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
769634,0x3abcb,False,285,909835,917825,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
769634,0x3abcb,False,285,909835,917825,7,6,1.748801386482515e+18,-1,864.0,207.0,3221291520.0,2,0,15,15
769634,0x3abcb,False,285,909835,917825,7,6,1.748801386482515e+18,-1,817.0,212.0,3221291776.0,1,0,20,20
773264,0x3abd6,False,292,909835,917825,7,6,1.748801386482515e+18,-1,726.0,193.0,3221291776.0,1,0,20,20
773264,0x3abd6,False,292,909835,917825,7,6,1.748801386482515e+18,-1,725.0,193.0,3221291520.0,2,0,15,15
773264,0x3abd6,False,292,909835,917825,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
773264,0x3abd6,False,292,909835,917825,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
773264,0x3abd6,False,292,909835,917825,7,6,1.748801386482515e+18,-1,864.0,207.0,3221291520.0,2,0,15,15
773264,0x3abd6,False,292,909835,917825,7,6,1.748801386482515e+18,-1,817.0,212.0,3221291776.0,1,0,20,20
869896,0x3ac25,False,285,917825,925838,7,6,1.748801386482515e+18,-1,726.0,193.0,3221291776.0,1,0,20,20
869896,0x3ac25,False,285,917825,925838,7,6,1.748801386482515e+18,-1,726.0,193.0,3221291520.0,2,0,15,15
869896,0x3ac25,False,285,917825,925838,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
869896,0x3ac25,False,285,917825,925838,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
869896,0x3ac25,False,285,917825,925838,7,6,1.748801386482515e+18,-1,726.0,209.0,3221291520.0,2,0,15,15
869896,0x3ac25,False,285,917825,925838,7,6,1.748801386482515e+18,-1,728.0,213.0,3221291776.0,1,0,20,20
906526,0x3ac3c,False,292,917825,925838,7,6,1.748801386482515e+18,-1,726.0,193.0,3221291776.0,1,0,20,20
906526,0x3ac3c,False,292,917825,925838,7,6,1.748801386482515e+18,-1,726.0,193.0,3221291520.0,2,0,15,15
906526,0x3ac3c,False,292,917825,925838,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
906526,0x3ac3c,False,292,917825,925838,7,6,1.7488013870193859e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
906526,0x3ac3c,False,292,917825,925838,7,6,1.748801386482515e+18,-1,726.0,209.0,3221291520.0,2,0,15,15
