logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,線形状情報数,ライン型地物ID,3D地物属性オプションフラグ,Type,形状要素点数,緯度[deg],経度[deg],高さ[m]
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12566639579033,139.62824724140305,53.27
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.125681147939915,139.62822008403674,53.27
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12569556481338,139.62819292667047,53.27
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12570025867915,139.6281835389389,53.27
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12570260561204,139.62818119200602,53.26
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.125716016657115,139.62815302881137,53.26
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.125728421873816,139.62812385978833,53.25
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12573646850086,139.62810474904907,53.25
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12573780960537,139.6281037432207,53.25
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12573881543375,139.62810240211618,53.25
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.125739485986,139.62810039045942,53.25
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.125751891202704,139.62806820395124,53.24
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12575859672524,139.628046411003,53.21
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12576496697165,139.62802461805475,53.21
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.125768990285174,139.6280088600768,53.24
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.1257743547032,139.62799075516594,83886.07
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12577837801673,139.62797600301633,53.25
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12578709519603,139.62794247540364,53.25
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12579346544244,139.6279146474851,83886.07
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.125794135994695,139.62791129472384,53.25
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.125800506241106,139.62788044932017,53.26
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,37,36.12580184734561,139.6278734085215,53.26
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12551082766743,139.62857078286552,53.78
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12551853901835,139.62856139513397,53.73
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12552088595124,139.62855837764883,53.72
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12554971969816,139.62852082672262,53.67
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12557821816895,139.62848159941578,53.61
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.1255788887212,139.62848126413965,53.61
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.125579559273454,139.62848092886352,53.61
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12559464669916,139.62846282395265,53.62
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12561845130418,139.6284336549296,53.6
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12564996726011,139.62839275124213,53.6
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12566807217097,139.62836827608487,53.54
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12568617708182,139.62834111871857,53.55
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12570260561204,139.62831362607616,53.56
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12571366972423,139.6282941800608,53.55
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12572473383642,139.6282740634932,53.55
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.125733786291846,139.62825696441072,53.51
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.125748538441435,139.62822880121604,53.52
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12576329059102,139.62819996746913,53.51
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12577871329286,139.62817012789384,53.49
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12579145378568,139.62813995304242,53.5
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12579346544244,139.62813492390052,83886.07
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12580318845012,139.62811078401936,53.52
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12581592894295,139.62807457419765,53.53
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12582665777901,139.62804104658497,53.54
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12583470440605,139.62800953062904,53.56
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.1258390629957,139.62799075516594,83886.07
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12584342158536,139.6279729855312,53.55
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12585046238402,139.6279444870604,53.54
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.12585582680205,139.6279220235599,53.53
1739016,0x3af86,False,308,7778,14968,1,4,1.748801387019386e+18,0,0,30,36.125862867600716,139.62788916649947,53.52
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12581995225647,139.62787877293954,53.29
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12582397556999,139.62785396250612,53.3
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.125829004711896,139.627829822625,53.3
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12583269274929,139.6278026652587,53.31
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12583604551056,139.62777651372082,53.32
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12583839244345,139.62774902107842,53.33
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12584107465247,139.62772119315986,53.34
1739214,0x3af90,False,308,14968,22048,1,4,1.7488013864825152e+18,4,0,25,36.12584342158536,139.6276930299652,53.35
