logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン形状情報数,Lane ID,Type,形状要素点数,緯度[deg],経度[deg],高さ[cm],形状インデックス
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23394013294809,139.5745296356209,6311,0
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.233965278657614,139.57453634114344,6309,1
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23400819400186,139.57454774053176,6305,2
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23405177989836,139.5745594751962,6302,3
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.234094359966484,139.57457053930838,6298,4
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23413593420622,139.57458160342057,6295,5
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23417683789371,139.5745919969805,6291,6
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23422176489472,139.57460406692107,6288,7
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23426300385833,139.57461479575713,6285,8
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23430960723998,139.5746268656977,6281,9
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23434782871845,139.57463658870537,6278,10
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.234395773204604,139.5746489939221,6274,11
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.23442594805603,139.57465704054914,6272,12
43208,0x3fbf8,False,292,2373538,2379470,7,3,5130010000000632848,0,14,36.2344604814971,139.57466575772844,6269,13
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23447959223633,139.57458663256247,6250,0
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.234523513408966,139.57459803195079,6246,1
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23456642875321,139.57460909606297,6244,2
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.234612361582606,139.57462116600354,6241,3
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23465829441199,139.57463290066798,6238,4
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23470255086075,139.57464396478017,6234,5
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23474982479465,139.57465603472076,6231,6
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23479173431052,139.57466676355682,6229,7
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23483532020702,139.574677827669,6226,8
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.2348762238945,139.57468822122894,6224,9
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23491779813425,139.57469861478887,6221,10
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23496540734427,139.5747103494533,6217,11
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23500966379303,139.5747214135655,6214,12
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23505626717467,139.57473348350607,6212,13
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.235099853071176,139.57474421234213,6208,14
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.23514612117669,139.57475594700657,6206,15
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632838,0,17,36.2351823309984,139.574764999462,6204,16
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.234469869228654,139.57462585986931,6260,0
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.2345164726103,139.574638265086,6256,1
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.234559723230674,139.57464932919822,6253,2
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.23460565606007,139.57466106386266,6250,3
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.2346509183372,139.57467246325098,6247,4
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.234695845338216,139.57468419791542,6243,5
72424,0x3fc0c,False,285,2379470,2387488,7,3,5130010000000632832,0,17,36.23474345454824,139.5746966031321,6240,6
