logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,道路標示物情報数,道路標示ID,交通ペイント種別,MMS測位誤差[mm],レーザー測位誤差[mm],座標点数,緯度[deg],経度[deg],楕円体高[cm]
1735937,0x3af2b,False,305,7778,14968,1,2,1.7488013886299988e+18,3288467200.0,4583,156,4,36.125557431049074,139.6284598064675,5349
1735937,0x3af2b,False,305,7778,14968,1,2,1.7488013886299988e+18,3288467200.0,4583,156,4,36.125588947005006,139.62841957333228,5345
1735937,0x3af2b,False,305,7778,14968,1,2,1.7488013886299988e+18,3288467200.0,4583,156,4,36.12559364087078,139.62842527302644,5347
1735937,0x3af2b,False,305,7778,14968,1,2,1.7488013886299988e+18,3288467200.0,4583,156,4,36.125561789638724,139.62846550616166,5351
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6492,162,4,36.12729449666275,139.62835117700237,5785
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6492,162,4,36.12729315555824,139.62840515645883,5759
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6492,162,4,36.12728477365507,139.6284048211827,5761
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6492,162,4,36.12728611475958,139.62835084172625,5788
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6482,161,4,36.127288461692466,139.62856977703714,5676
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6482,161,4,36.12728577948345,139.6286264387026,5652
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6482,161,4,36.12727605647577,139.62862576815036,5654
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6482,161,4,36.12727907396091,139.62856877120876,5679
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6468,162,4,36.12728276199831,139.6287213218465,5615
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6468,162,4,36.127281085617675,139.62879776480347,5587
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6468,162,4,36.12726800984872,139.62879742952734,5590
1736861,0x3af5f,False,305,49586,54068,1,3,1.7488013886299988e+18,3288467200.0,6468,162,4,36.12726935095323,139.62872065129426,5618
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6465,145,4,36.12732735372319,139.62996016713558,5366
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6465,145,4,36.127326683170935,139.62999637695728,5366
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6465,145,4,36.12732165402903,139.62999604168115,5366
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6465,145,4,36.127322324581286,139.62995983185945,5367
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6427,151,4,36.12723381168377,139.6299591613072,5379
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6427,151,4,36.127233476407646,139.6299916830915,5376
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6427,151,4,36.12722744143736,139.6299916830915,5378
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6427,151,4,36.12722777671349,139.62995882603107,5380
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6458,162,4,36.12727605647577,139.62891309979113,5546
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6458,162,4,36.12727538592352,139.62899188968098,5521
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6458,162,4,36.12726197487844,139.62899155440485,5524
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6458,162,4,36.12726264543069,139.628912764515,5550
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6488,136,4,36.127348811395315,139.62891678782853,5534
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6488,136,4,36.12734914667144,139.62899825992739,5511
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6488,136,4,36.12733439452185,139.62899825992739,5511
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467200.0,6488,136,4,36.12733439452185,139.6289164525524,5537
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6472,122,3,36.127330035932204,139.6304543641467,5353
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6472,122,3,36.12733137703671,139.63050800832698,5359
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6472,122,3,36.12732400096192,139.63050767305086,5358
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6472,124,3,36.12737563348547,139.63045671107957,5352
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6472,124,3,36.12737865097061,139.63051169636438,5355
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6472,124,3,36.12737060434357,139.63051136108825,5355
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6488,131,3,36.127283097274436,139.6304533583183,5358
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6488,131,3,36.12728443837894,139.63050633194635,5359
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6488,131,3,36.12727605647577,139.63050599667022,5361
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6419,131,3,36.12723615861666,139.6304496702809,5367
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6419,131,3,36.12723850554955,139.63050599667022,5362
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013886299988e+18,3288467712.0,6419,131,3,36.12723012364638,139.63050532611797,5363
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013888984343e+18,3305046784.0,6466,145,4,36.12732835955157,139.62977207722835,5378
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013888984343e+18,3305046784.0,6466,145,4,36.12732936537995,139.62995077940403,5364
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013888984343e+18,3305046784.0,6466,145,4,36.127319307096144,139.62995077940403,5364
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013888984343e+18,3305046784.0,6466,145,4,36.12731897182002,139.62977241250448,5379
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013888984343e+18,3305046784.0,6427,151,4,36.1272428641392,139.6297700655716,5387
1737689,0x3af6a,False,305,54068,71928,1,12,1.7488013888984343e+18,3305046784.0,6427,151,4,36.12723716444504,139.62994876774727,5378
