logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン情報数,レーンID,左側車線のレーンID,右側車線のレーンID,レーン付加属性フラグ,レーン属性オプションフラグ ,距離[cm],レーンNW種別,車線属性種別 ,レーン番号,最高速度情報[kmh],幅員情報[cm],鮮度情報チェック状態,鮮度情報,中央分離帯種別,精度管理フラグ,工事開始日,工事開始時間,工事種別,機能制限フラグ３,機能制限フラグ２,機能制限フラグ１,経路変換状態,SDLinkage有無,ADAS2.0属性数,(1) 始点リンクフラグ,(1) 道路種別コード,(1) リンク種別,(1) リンク属性オプションフラグ,(1) リンク付加属性フラグ,信号機情報ID数,道路標示情報ID数,標識情報ID数,(1) 標識情報ID,停止線情報ID数,ライン型地物ID数,(1) ライン型地物ID,(1) 位置種別,(2) ライン型地物ID,(2) 位置種別,(3) ライン型地物ID,(3) 位置種別,(4) ライン型地物ID,(4) 位置種別,前方レーンID数,(1) 前方レーンID,後方レーンID数,(1) 後方レーンID,(2) 始点リンクフラグ,(2) 道路種別コード,(2) リンク種別,(2) リンク属性オプションフラグ,(2) リンク付加属性フラグ,(2) 標識情報ID,(3) 標識情報ID
1768621,0x40439,False,285,2504496,2512527,7,3,5130010000000634766,0,5130010000000634776,129,99,8051,1,2,1,120,369,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528984,1,1748801386482528977,2,1748801387019399897,1,1748801387019399892,2,1,5130010000000634775,1,5130010000000634754,,,,,,,
1768621,0x40439,False,285,2504496,2512527,7,3,5130010000000634776,5130010000000634766,5130010000000634772,140,35,8029,1,2,2,120,376,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528977,1,1748801386482528978,2,1748801387019399897,1,1748801387019399892,2,1,5130010000000634768,1,5130010000000634769,,,,,,,
1768621,0x40439,False,285,2504496,2512527,7,3,5130010000000634772,5130010000000634776,0,10,99,8001,1,1,3,120,359,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528978,1,1748801386482528979,2,1748801387019399897,1,1748801387019399892,2,1,5130010000000634762,1,5130010000000634760,,,,,,,
1772188,0x40444,False,292,2504496,2512527,7,3,5130010000000634766,0,5130010000000634776,129,99,8051,1,2,1,120,369,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528984,1,1748801386482528977,2,1748801387019399897,1,1748801387019399892,2,1,5130010000000634775,1,5130010000000634754,,,,,,,
1772188,0x40444,False,292,2504496,2512527,7,3,5130010000000634776,5130010000000634766,5130010000000634772,140,35,8029,1,2,2,120,376,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528977,1,1748801386482528978,2,1748801387019399897,1,1748801387019399892,2,1,5130010000000634768,1,5130010000000634769,,,,,,,
1772188,0x40444,False,292,2504496,2512527,7,3,5130010000000634772,5130010000000634776,0,10,99,8001,1,1,3,120,359,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528978,1,1748801386482528979,2,1748801387019399897,1,1748801387019399892,2,1,5130010000000634762,1,5130010000000634760,,,,,,,
1868480,0x40495,False,285,2512527,2520535,7,3,5130010000000634775,0,5130010000000634768,129,99,8013,1,2,1,120,369,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528995,1,1748801386482528994,2,1748801387019399908,1,1748801387019399902,2,1,5130010000000634767,1,5130010000000634766,,,,,,,
1868480,0x40495,False,285,2512527,2520535,7,3,5130010000000634768,5130010000000634775,5130010000000634762,140,35,8010,1,2,2,120,379,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528994,1,1748801386482528986,2,1748801387019399908,1,1748801387019399902,2,1,5130010000000634757,1,5130010000000634776,,,,,,,
1868480,0x40495,False,285,2512527,2520535,7,3,5130010000000634762,5130010000000634768,0,10,99,8013,1,1,3,120,357,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528986,1,1748801386482528987,2,1748801387019399908,1,1748801387019399902,2,1,5130010000000634761,1,5130010000000634772,,,,,,,
1905409,0x404ac,False,292,2512527,2520535,7,3,5130010000000634775,0,5130010000000634768,129,99,8013,1,2,1,120,369,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528995,1,1748801386482528994,2,1748801387019399908,1,1748801387019399902,2,1,5130010000000634767,1,5130010000000634766,,,,,,,
1905409,0x404ac,False,292,2512527,2520535,7,3,5130010000000634768,5130010000000634775,5130010000000634762,140,35,8010,1,2,2,120,379,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528994,1,1748801386482528986,2,1748801387019399908,1,1748801387019399902,2,1,5130010000000634757,1,5130010000000634776,,,,,,,
1905409,0x404ac,False,292,2512527,2520535,7,3,5130010000000634762,5130010000000634768,0,10,99,8013,1,1,3,120,357,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528986,1,1748801386482528987,2,1748801387019399908,1,1748801387019399902,2,1,5130010000000634761,1,5130010000000634772,,,,,,,
