logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Road EdgeèÓïÒêî,ëŒè€ÇÃRoad Edge ID
267818,0x189e0,False,255,2494876,2510996,31,2,860954
267818,0x189e0,False,255,2494876,2510996,31,2,4295828250
267823,0x189ea,False,388,0,6318,1,2,3196252
267823,0x189ea,False,388,0,6318,1,2,4298163548
267913,0x189f4,False,388,6318,10931,1,2,3196247
267913,0x189f4,False,388,6318,10931,1,2,4298163543
267918,0x189fe,False,388,10931,19652,1,2,3196243
267918,0x189fe,False,388,10931,19652,1,2,4298163539
268169,0x18a08,False,388,19652,33250,1,2,3196254
268169,0x18a08,False,388,19652,33250,1,2,4298163550
268264,0x18a12,False,388,33250,33548,1,2,2379680
268264,0x18a12,False,388,33250,33548,1,2,4297346976
268266,0x18a1c,False,388,33548,33748,1,2,2379679
268266,0x18a1c,False,388,33548,33748,1,2,4297346975
268273,0x18a26,False,388,33748,33948,1,2,2379678
268273,0x18a26,False,388,33748,33948,1,2,4297346974
268374,0x18a30,False,388,33948,35346,1,2,2379677
268374,0x18a30,False,388,33948,35346,1,2,4297346973
269866,0x18a4a,False,362,1190611,1206731,31,2,860954
269866,0x18a4a,False,362,1190611,1206731,31,2,4295828250
269986,0x18a54,False,389,0,6318,1,2,3196252
269986,0x18a54,False,389,0,6318,1,2,4298163548
270006,0x18a5e,False,389,6318,10931,1,2,3196247
270006,0x18a5e,False,389,6318,10931,1,2,4298163543
270074,0x18a68,False,389,10931,19652,1,2,3196243
270074,0x18a68,False,389,10931,19652,1,2,4298163539
270353,0x18a72,False,389,19652,33250,1,2,3196254
270353,0x18a72,False,389,19652,33250,1,2,4298163550
270355,0x18a7c,False,389,33250,33548,1,2,2379680
270355,0x18a7c,False,389,33250,33548,1,2,4297346976
270456,0x18a86,False,389,33548,33748,1,2,2379679
270456,0x18a86,False,389,33548,33748,1,2,4297346975
270463,0x18a90,False,389,33748,33948,1,2,2379678
270463,0x18a90,False,389,33748,33948,1,2,4297346974
270471,0x18a9a,False,389,33948,35346,1,2,2379677
270471,0x18a9a,False,389,33948,35346,1,2,4297346973
339898,0x18b7c,False,255,2510996,2541058,15,2,861015
339898,0x18b7c,False,255,2510996,2541058,15,2,4295828311
341939,0x18b97,False,362,1206731,1236793,15,2,861015
341939,0x18b97,False,362,1206731,1236793,15,2,4295828311
483475,0x18d76,False,255,2541058,2571060,15,2,861059
483475,0x18d76,False,255,2541058,2571060,15,2,4295828355
485510,0x18d90,False,362,1236793,1266795,15,2,861059
485510,0x18d90,False,362,1236793,1266795,15,2,4295828355
596156,0x18fe9,False,255,2571060,2601044,15,2,861098
596156,0x18fe9,False,255,2571060,2601044,15,2,4295828394
598197,0x19005,False,362,1266795,1296779,15,2,861098
598197,0x19005,False,362,1266795,1296779,15,2,4295828394
