logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン形状情報数,Lane ID,形状要素点数,緯度[deg],経度[deg],高さ[m],形状インデックス
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11478311617737,-117.97774214250448,88.087,12
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11481262047654,-117.97771808644238,88.193,13
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11483466488189,-117.97769998153153,88.27,14
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11484204095668,-117.97769394656125,88.296,15
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11490054664083,-117.97764508006574,88.509,16
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.115045553565736,-117.97752010588943,89.111,17
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11508142811132,-117.97748825465736,89.244,18
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11511001040114,-117.97746268985269,89.348,19
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11512425963653,-117.9774497817218,89.4,20
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11513850887193,-117.97743695740994,89.453,21
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.115166839704656,-117.97741105732914,89.56,22
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.11518796210065,-117.97739161131378,89.641,23
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.115251245469615,-117.97733268653447,89.887,24
85101,0x18727,False,362,1139280,1154273,15,4,17180730333,26,34.115272284046576,-117.97731282142394,89.968,25
134259,0x1879f,False,255,2458538,2463216,15,4,4295828484,8,34.11533372339684,-117.97740678255852,90.424,0
134259,0x1879f,False,255,2458538,2463216,15,4,4295828484,8,34.11539725822289,-117.97734609757954,90.662,1
134259,0x1879f,False,255,2458538,2463216,15,4,4295828484,8,34.115460206315724,-117.97728457441025,90.906,2
134259,0x1879f,False,255,2458538,2463216,15,4,4295828484,8,34.1154949912139,-117.9772501247882,91.042,3
134259,0x1879f,False,255,2458538,2463216,15,4,4295828484,8,34.11553648163461,-117.9772083829104,91.204,4
134259,0x1879f,False,255,2458538,2463216,15,4,4295828484,8,34.11557772059822,-117.97716630575647,91.367,5
134259,0x1879f,False,255,2458538,2463216,15,4,4295828484,8,34.11561870810474,-117.97712389332641,91.531,6
134259,0x1879f,False,255,2458538,2463216,15,4,4295828484,8,34.11565944415416,-117.97708114562022,91.7,7
