logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン情報数,レーンID,左側車線のレーンID,右側車線のレーンID,Road Type,Lane_Add_Remove_Type,Accelerating Lane,Decelerating Lane,Lane Type,Crossing Type (only tunnel),Left Change Allowed,Right Change Allowed,距離[m],レーン番号,レーン総数,最高速度情報[kmh],MAP Functional Authority,Functional Authority 3,Functional Authority 2,Functional Authority 1,鮮度情報チェック状態,鮮度情報,経路変換状態,SDLinkage有無,ADAS2.0属性数,(1) OSMID,(1) 道路種別,(1) サブリンク種別,(1) 橋・トンネル属性,信号機情報ID数,道路標示情報ID数,標識情報ID数,Lane Line ID数,(1) Lane Line ID,(1) 位置種別,(2) Lane Line ID,(2) 位置種別,Road Edge ID数,(1) Road Edge ID,(2) Road Edge ID,前方レーンID数,(1) 前方レーンID,後方レーンID数,(1) 後方レーンID,(1) 標識情報ID,(2) 後方レーンID,(2) OSMID,(2) 道路種別,(2) サブリンク種別,(2) 橋・トンネル属性,(2) 標識情報ID,(3) 標識情報ID
236882,0x1898e,False,255,2488552,2494876,15,4,12885762964,8590795668,17180730260,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,63,3,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885762964,0,17180730260,1,2,861076,4295828372,1,12885762842,1,12885762917.0,,,,,,,,
236882,0x1898e,False,255,2488552,2494876,15,4,17180730260,12885762964,0,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,0,63,4,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730260,0,21475697556,1,2,861076,4295828372,1,17180730138,1,17180730213.0,,,,,,,,
238964,0x189a8,False,362,1184287,1190611,15,4,4295828372,0,8590795668,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,63,1,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828372,0,8590795668,1,2,861076,4295828372,1,4295828250,1,4295828325.0,,,,,,,,
238964,0x189a8,False,362,1184287,1190611,15,4,8590795668,4295828372,12885762964,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,63,2,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795668,0,12885762964,1,2,861076,4295828372,1,8590795546,1,8590795621.0,,,,,,,,
238964,0x189a8,False,362,1184287,1190611,15,4,12885762964,8590795668,17180730260,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,63,3,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885762964,0,17180730260,1,2,861076,4295828372,1,12885762842,1,12885762917.0,,,,,,,,
238964,0x189a8,False,362,1184287,1190611,15,4,17180730260,12885762964,0,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,0,63,4,4,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730260,0,21475697556,1,2,861076,4295828372,1,17180730138,1,17180730213.0,,,,,,,,
267818,0x189dc,False,255,2494876,2510996,31,5,4295828250,0,8590795546,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,161,1,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828250,0,8590795546,1,2,860954,4295828250,1,4295828311,1,4295828372.0,,,,,,,,
267818,0x189dc,False,255,2494876,2510996,31,5,8590795546,4295828250,12885762842,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,161,2,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795546,0,12885762842,1,2,860954,4295828250,1,8590795607,1,8590795668.0,,,,,,,,
267818,0x189dc,False,255,2494876,2510996,31,5,12885762842,8590795546,17180730138,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,161,3,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885762842,0,17180730138,1,2,860954,4295828250,1,12885762903,1,12885762964.0,,,,,,,,
267818,0x189dc,False,255,2494876,2510996,31,5,17180730138,12885762842,21475697434,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,161,4,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730138,0,25770664730,1,2,860954,4295828250,1,17180730199,1,17180730260.0,,,,,,,,
267818,0x189dc,False,255,2494876,2510996,31,5,21475697434,17180730138,0,(0) Controlled Access Divided,2,1,0,(1) Normal Driving Lane,0,1,0,161,5,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,21475697434,0,30065632026,1,2,860954,4295828250,1,17180730199,1,4298163548.0,,,,,,,,
267823,0x189e6,False,388,0,6318,1,1,4298163548,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,63,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,40491193,0,5,0,0,0,0,2,4298163548,0,8593130844,1,2,3196252,4298163548,1,21475697434,1,4298163543.0,,,,,,,,
267913,0x189f0,False,388,6318,10931,1,1,4298163543,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,46,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,40491193,0,5,0,0,0,0,2,4298163543,0,8593130839,1,2,3196247,4298163543,1,4298163548,1,4298163539.0,,,,,,,,
267918,0x189fa,False,388,10931,19652,1,1,4298163539,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,87,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,40491193,0,5,0,0,0,0,2,4298163539,0,8593130835,1,2,3196243,4298163539,1,4298163543,1,4298163550.0,,,,,,,,
268169,0x18a04,False,388,19652,33250,1,1,4298163550,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,136,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,2,40491193,0,5,0,0,0,0,2,4298163550,0,8593130846,1,2,3196254,4298163550,1,4298163539,1,4297346976.0,,,406480748,0,5,0,,
268264,0x18a0e,False,388,33250,33548,1,1,4297346976,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,3,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,406480748,0,5,0,0,0,0,2,4297346976,0,8592314272,1,2,2379680,4297346976,1,4298163550,1,4297346975.0,,,,,,,,
268266,0x18a18,False,388,33548,33748,1,1,4297346975,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,2,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,406480748,0,5,0,0,0,0,2,4297346975,0,8592314271,1,2,2379679,4297346975,1,4297346976,1,4297346974.0,,,,,,,,
268273,0x18a22,False,388,33748,33948,1,1,4297346974,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,2,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,406480748,0,5,0,0,0,0,2,4297346974,0,8592314270,1,2,2379678,4297346974,1,4297346975,1,4297346973.0,,,,,,,,
268374,0x18a2c,False,388,33948,35346,1,1,4297346973,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,14,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,406480748,0,5,0,0,0,0,2,4297346973,0,8592314269,1,2,2379677,4297346973,1,4297346974,0,,,,,,,,,
269866,0x18a46,False,362,1190611,1206731,31,5,4295828250,0,8590795546,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,0,1,161,1,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,4295828250,0,8590795546,1,2,860954,4295828250,1,4295828311,1,4295828372.0,,,,,,,,
269866,0x18a46,False,362,1190611,1206731,31,5,8590795546,4295828250,12885762842,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,161,2,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,8590795546,0,12885762842,1,2,860954,4295828250,1,8590795607,1,8590795668.0,,,,,,,,
269866,0x18a46,False,362,1190611,1206731,31,5,12885762842,8590795546,17180730138,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,161,3,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,12885762842,0,17180730138,1,2,860954,4295828250,1,12885762903,1,12885762964.0,,,,,,,,
269866,0x18a46,False,362,1190611,1206731,31,5,17180730138,12885762842,21475697434,(0) Controlled Access Divided,0,0,0,(1) Normal Driving Lane,0,1,1,161,4,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,17180730138,0,25770664730,1,2,860954,4295828250,1,17180730199,1,17180730260.0,,,,,,,,
269866,0x18a46,False,362,1190611,1206731,31,5,21475697434,17180730138,0,(0) Controlled Access Divided,2,1,0,(1) Normal Driving Lane,0,1,0,161,5,5,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,52131419,0,2,0,0,0,0,2,21475697434,0,30065632026,1,2,860954,4295828250,1,17180730199,1,4298163548.0,,,,,,,,
269986,0x18a50,False,389,0,6318,1,1,4298163548,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,63,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,40491193,0,5,0,0,0,0,2,4298163548,0,8593130844,1,2,3196252,4298163548,1,21475697434,1,4298163543.0,,,,,,,,
270006,0x18a5a,False,389,6318,10931,1,1,4298163543,0,0,(3) Ramp,0,0,0,(1) Normal Driving Lane,0,0,0,46,1,1,105,1,1073758208,1073741824,0,1,1,変換成功,有効,1,40491193,0,5,0,0,0,0,2,4298163543,0,8593130839,1,2,3196247,4298163543,1,4298163548,1,4298163539.0,,,,,,,,
