logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Lane Line形状情報数,Lane Line ID,形状要素点数,緯度[deg],経度[deg],高さ[m]
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.114776997388056,-117.9777696351469,88.103
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11479183335667,-117.9777577328444,88.157
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11482142147487,-117.97773359296325,88.262
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11484354969925,-117.9777154880524,88.337
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11485092577404,-117.97770936926308,88.361
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.114909515277226,-117.97766041894855,88.568
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11505468984019,-117.97753519331513,89.178
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11509073202384,-117.97750334208307,89.314
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11511939813269,-117.9774777772784,89.418
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11513373118712,-117.97746495296654,89.47
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11514798042251,-117.97745204483566,89.522
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11517639507427,-117.97742622857388,89.627
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.1151976012893,-117.97740669873949,89.706
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.115260968477294,-117.97734752250308,89.945
83089,0x1870f,False,255,2443545,2458538,15,5,17180730333,26,34.11528200705426,-117.97732757357353,90.025
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11414441515555,-117.97818663482978,85.746
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.114214487866086,-117.97814028290523,86.005
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11428380620533,-117.97809334424745,86.256
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.114352873087476,-117.97804531594227,86.499
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.114422023788656,-117.97799586271354,86.743
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11449050393759,-117.97794565511354,86.998
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.1145581458962,-117.97789486078031,87.253
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11462545257868,-117.97784339589482,87.486
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.114692507804065,-117.97779117663805,87.717
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11472226356033,-117.97776770730917,87.825
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.1147520193166,-117.97774407034221,87.935
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11475939539139,-117.97773811919096,87.963
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11477414754098,-117.97772613306942,88.017
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11480365184015,-117.97770216082635,88.124
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.1148256962455,-117.97768405591549,88.203
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.114832988501256,-117.9776780209452,88.23
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.114891410366376,-117.97762923826873,88.448
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11503608201515,-117.97750443173048,89.044
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11507195656073,-117.97747266431746,89.175
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11510045503152,-117.97744709951277,89.278
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.115114704266915,-117.97743427520092,89.331
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11512886968328,-117.97742145088907,89.384
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.115157200516,-117.97739571844633,89.493
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.115178322912,-117.97737635624999,89.577
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.1152414386429,-117.97731751528971,89.828
83089,0x1870f,False,255,2443545,2458538,15,5,21475697629,26,34.11526239340083,-117.9772976501792,89.911
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11420778234354,-117.97832644497471,86.339
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11427894470149,-117.97827908722178,86.574
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.114349939421366,-117.97823131037369,86.828
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11442043122705,-117.97818252769723,87.087
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11449025248049,-117.97813257155431,87.342
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.114559570819736,-117.97808160958301,87.592
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11462855388285,-117.9780298094214,87.838
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11469720166984,-117.97797742252656,88.08
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11476543036168,-117.97792411362238,88.319
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11479552139407,-117.97790014137931,88.425
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11482552860743,-117.97787600149817,88.531
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11483307232029,-117.97786996652788,88.557
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11484799210793,-117.97785781276828,88.61
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.11487783168323,-117.97783333761102,88.717
85101,0x18729,False,362,1139280,1154273,15,5,4295828445,26,34.114900211364706,-117.97781489742404,88.799
