logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,線形状情報数,ライン型地物ID,3D地物属性オプションフラグ,Type,形状要素点数,緯度[deg],経度[deg],高さ[m]
1541583,0x40375,False,292,2488515,2496506,7,6,1.748801386482529e+18,4,0,19,36.24428876588221,139.57878831298527,58.58
1541583,0x40375,False,292,2488515,2496506,7,6,1.748801386482529e+18,4,0,19,36.24432698736068,139.5788184878367,58.57
1541583,0x40375,False,292,2488515,2496506,7,6,1.748801386482529e+18,4,0,19,36.24435883859274,139.57884396882235,58.57
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24440845945953,139.5787376862901,58.9
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24444567510962,139.57876819641766,58.9
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24448356131196,139.57879870654523,58.89
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.2445214475143,139.57882921667277,58.88
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.244558998440525,139.57886039735257,58.87
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.244597219918994,139.57889124275624,58.87
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24463477084521,139.57892242343607,58.86
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.2446719864953,139.57895360411587,58.85
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24470987269765,139.5789841142434,58.87
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24474675307161,139.57901596547546,58.88
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.2447839687217,139.57904781670754,58.88
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.244821519647914,139.57907899738734,58.89
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24485907057414,139.57911185444777,58.89
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24489662150035,139.57914404095595,58.9
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24493417242657,139.57917589218803,58.9
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.24497138807666,139.5792080786962,58.89
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,4,0,17,36.245006592069984,139.579239259376,58.88
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,20,0,9,36.24439035454867,139.57877188445505,58.77
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,20,0,9,36.24445841560244,139.578827205016,58.76
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,20,0,9,36.24454189935805,139.57889526606976,58.74
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,20,0,9,36.24460694292667,139.5789479044217,58.73
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,20,0,9,36.24469277361517,139.57901965351286,58.75
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,20,0,9,36.24475815245992,139.57907530934995,58.76
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,20,0,9,36.24484230676779,139.5791470584411,58.77
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,20,0,9,36.24490735033641,139.57920271427818,58.77
1637275,0x403d6,False,285,2496506,2504496,7,6,1.748801386482529e+18,20,0,9,36.24498748133075,139.57927245171257,58.76
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24442287633298,139.57870952309545,58.95
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24446176836371,139.57874070377525,58.95
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24450032511831,139.57877188445505,58.95
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24453720549227,139.57880172403037,58.94
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24457542697074,139.57883256943404,58.94
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24461331317308,139.57886408538997,58.94
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24465019354705,139.57889526606976,58.9
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24468774447327,139.5789264467496,58.89
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24472496012336,139.57895695687714,58.9
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24476049939281,139.57898746700468,58.93
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.244798050319034,139.57901864768448,58.93
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24483526596912,139.57905049891656,58.93
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24487449327597,139.57908369125312,58.93
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.244910367821554,139.5791145366568,58.93
1637275,0x403d6,False,285,2496506,2504496,7,6,1.7488013870194e+18,0,0,17,36.24494791874777,139.57914672316497,58.93
