logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
706825,0x3fe2d,False,285,2425265,2432609,7,6,1.7488013864825288e+18,-1,264.0,187.0,3221291520.0,2,48,15,15
706825,0x3fe2d,False,285,2425265,2432609,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
706825,0x3fe2d,False,285,2425265,2432609,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
706825,0x3fe2d,False,285,2425265,2432609,7,6,1.7488013864825288e+18,-1,448.0,215.0,3221291520.0,2,48,15,15
706825,0x3fe2d,False,285,2425265,2432609,7,6,1.7488013864825288e+18,-1,459.0,220.0,3221291776.0,1,16,20,20
743784,0x3fe80,False,292,2425265,2432609,7,6,1.7488013864825288e+18,-1,260.0,187.0,3221291776.0,1,32,20,20
743784,0x3fe80,False,292,2425265,2432609,7,6,1.7488013864825288e+18,-1,264.0,187.0,3221291520.0,2,48,15,15
743784,0x3fe80,False,292,2425265,2432609,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
743784,0x3fe80,False,292,2425265,2432609,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
743784,0x3fe80,False,292,2425265,2432609,7,6,1.7488013864825288e+18,-1,448.0,215.0,3221291520.0,2,48,15,15
743784,0x3fe80,False,292,2425265,2432609,7,6,1.7488013864825288e+18,-1,459.0,220.0,3221291776.0,1,16,20,20
811770,0x3fec9,False,292,2432609,2440520,7,6,1.7488013864825288e+18,-1,292.0,188.0,3221291776.0,1,32,20,20
811770,0x3fec9,False,292,2432609,2440520,7,6,1.7488013864825288e+18,-1,237.0,188.0,3221291520.0,2,48,15,15
